date,R_fighter,B_fighter,Winner,weight_class,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO_TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO_TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age
2016-08-20,Raquel Pennington,Elizabeth Phillips,0,Women's Bantamweight,0,1,0,47.0,0.393333333,0.333333333,0.666666667,0.166666667,1,2,9,0,0,1,0,0,0,1,1,167.64,165.1,135,30,0,2,0,53.83333333,0.506666667,0.833333333,1.0,0.526666667,2,2,15,0,1,1,0,2,0,4,1,170.18,170.18,135,27
2018-02-18,Sage Northcutt,Thibault Gouti,0,Lightweight,0,1,0,18.5,0.285,0.0,0.0,0.0,1,3,6,0,0,0,1,0,0,1,1,177.8,182.88,155,30,0,1,0,30.0,0.603333333,0.333333333,1.166666667,0.466666667,2,2,13,0,0,2,1,1,0,4,1,182.88,180.34,170,21
2020-09-05,Cole Smith,Hunter Azure,1,Bantamweight,1,0,0,4.71,0.49,1.9,1.55,0.33,1,1,5,0,0,1,0,0,0,1,1,172.72,175.26,145,28,1,0,0,1.63,0.33,1.0,1.5,0.3,1,1,6,0,0,1,0,0,0,1,1,180.34,170.18,135,31
2018-11-24,Wu Yanan,Lauren Mueller,0,Women's Flyweight,0,1,0,58.0,0.37,0.0,2.0,1.0,1,0,3,0,0,1,0,0,0,1,1,165.1,170.18,125,27,1,0,0,22.0,0.43,0.0,1.0,0.5,0,1,3,0,0,0,0,0,0,0,1,172.72,167.64,125,22
2012-05-15,Rafael Dos Anjos,Kamal Shalorus,0,Lightweight,2,0,0,19.5,0.245,0.0,0.5,0.165,0,2,6,0,0,0,0,0,0,0,1,172.72,172.72,155,39,1,0,0,24.75,0.33,1.0,1.75,0.29375,3,4,21,0,0,2,1,1,0,4,2,172.72,177.8,170,27
2017-04-22,Dustin Ortiz,Brandon Moreno,1,Flyweight,0,2,0,31.0,0.545,1.0,3.0,0.69,2,0,4,0,1,0,0,1,0,2,1,170.18,177.8,125,23,0,1,0,44.0,0.457777778,0.111111111,2.333333333,0.296666667,2,4,27,0,3,0,2,0,0,5,1,165.1,165.1,125,28
2015-04-11,Gabriel Gonzaga,Mirko Cro Cop,1,Heavyweight,3,0,0,21.5,0.436,0.3,0.2,0.2,2,6,23,0,0,0,2,1,1,4,2,187.96,185.42,230,40,2,0,0,13.10526316,0.553157895,0.526315789,1.0,0.434210526,4,8,30,0,0,0,7,4,0,11,1,187.96,193.04,242,35
2021-01-16,Carlos Felipe,Justin Tafa,0,Heavyweight,0,1,0,3.86,0.66,0.0,0.0,0.0,1,1,2,0,0,0,1,0,0,1,2,182.88,187.96,264,27,0,1,0,4.07,0.4,0.0,0.0,0.0,1,1,6,0,0,1,0,0,0,1,1,182.88,190.5,245,26
2021-05-01,Randa Markos,Luana Pinheiro,1,Women's Strawweight,0,1,0,5.52,0.5,0.0,10.61,0.83,1,0,1,0,0,0,1,0,0,1,1,157.48,157.48,115,28,3,0,1,2.87,0.42,0.2,1.2,0.28,1,9,42,0,2,3,0,1,0,6,1,162.56,160.02,115,35
2021-08-28,Alessio Di Chirico,Abdul Razak Alhassan,1,Middleweight,3,0,0,3.71,0.48,0.0,0.53,0.28,3,4,14,0,0,0,4,0,0,4,1,177.8,185.42,185,36,0,1,0,3.3,0.41,0.0,1.62,0.45,2,5,22,0,2,0,2,0,0,4,1,182.88,187.96,185,31
2016-12-10,Olivier Aubin-Mercier,Drew Dober,0,Lightweight,0,2,0,27.57142857,0.318571429,0.142857143,0.714285714,0.05,2,4,14,0,0,1,1,1,0,3,2,172.72,177.8,155,28,0,1,0,36.83333333,0.531666667,0.5,2.833333333,0.331666667,3,2,17,0,0,1,0,3,0,4,2,175.26,177.8,155,27
2021-09-18,Ariane Lipski,Mandy Bohm,0,Women's Flyweight,0,0,0,2.4,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,170.18,180.34,125,32,2,0,0,3.33,0.36,0.4,0.19,0.2,2,4,14,0,0,1,0,1,0,2,1,167.64,170.18,125,27
2017-07-07,Gray Maynard,Teruto Ishihara,0,Featherweight,1,0,0,44.0,0.49,0.0,0.0,0.0,2,2,9,0,0,0,2,0,0,2,2,170.18,175.26,135,25,1,0,0,25.77777778,0.363333333,0.555555556,2.166666667,0.419444444,8,8,51,0,3,6,1,0,0,10,1,175.26,177.8,155,38
2019-10-12,Marvin Vettori,Andrew Sanchez,0,Middleweight,0,2,0,4.49,0.43,0.0,2.25,0.33,2,2,18,0,0,4,0,0,0,4,1,185.42,187.96,185,31,0,1,1,4.05,0.41,0.6,1.43,0.45,1,2,16,0,0,2,0,1,0,3,2,182.88,187.96,185,26
2019-10-12,Mackenzie Dern,Amanda Ribas,1,Women's Strawweight,0,1,0,4.29,0.38,1.4,2.71,0.57,1,0,2,0,0,0,0,1,0,1,1,160.02,167.64,115,26,0,2,0,3.24,0.32,0.9,0.46,0.08,2,0,4,0,1,0,0,1,0,2,1,162.56,160.02,115,26
2012-12-14,Mike Pierce,Seth Baczynski,0,Welterweight,0,4,0,24.0,0.352,1.0,0.4,0.08,4,1,11,0,1,0,1,2,0,4,1,190.5,187.96,170,31,0,2,0,36.5,0.48,0.3,2.4,0.355,3,3,28,0,1,3,2,1,0,7,1,172.72,177.8,170,32
2018-12-29,Jon Jones,Alexander Gustafsson,0,Light Heavyweight,0,2,0,45.78571429,0.393571429,0.357142857,1.285714286,0.325,6,4,35,0,0,3,5,2,0,10,1,195.58,200.66,205,31,1,0,0,62.0,0.573888889,0.555555556,2.0,0.576666667,13,2,55,0,0,7,4,5,0,16,1,193.04,213.36,205,31
2019-06-01,Tonya Evinger,Lina Lansberg,1,Women's Bantamweight,1,0,0,43.6,0.562,0.2,0.4,0.228,1,3,13,0,0,2,0,0,0,2,1,170.18,165.1,135,37,2,0,0,20.5,0.465,0.0,0.5,0.125,0,2,4,0,0,0,0,0,0,0,1,170.18,177.8,135,37
2011-08-27,Anderson Silva,Yushin Okami,0,Middleweight,0,3,0,29.91666667,0.400833333,0.666666667,1.583333333,0.425,4,2,34,0,1,5,3,0,1,10,2,187.96,190.5,170,30,0,13,0,30.61538462,0.718461538,0.461538462,0.230769231,0.230769231,13,0,30,0,0,2,8,3,0,13,2,187.96,195.58,185,36
2021-02-13,Polyana Viana,Mallory Martin,0,Women's Strawweight,0,1,0,4.28,0.59,0.5,3.24,0.6,1,1,7,0,0,1,0,1,0,2,1,162.56,160.02,115,27,0,1,0,3.93,0.42,1.6,1.22,0.33,1,3,9,0,0,0,0,2,0,2,1,165.1,170.18,115,28
2019-03-23,Luis Pena,Steven Peterson,0,Featherweight,0,1,0,73.5,0.335,0.5,1.5,0.215,1,1,6,0,1,0,0,0,0,1,1,177.8,177.8,145,28,1,0,0,15.5,0.305,0.5,1.0,0.555,1,1,4,0,0,0,0,1,0,1,2,190.5,190.5,155,25
2014-06-28,Clint Hester,Antonio Braga Neto,0,Middleweight,0,1,0,6.0,0.4,1.0,1.0,0.33,1,0,1,0,0,0,0,1,0,1,1,190.5,195.58,185,26,0,3,0,55.0,0.426666667,0.0,1.0,0.553333333,3,0,8,0,0,1,1,0,1,3,1,187.96,195.58,205,27
2020-07-25,Bethe Correia,Pannie Kianzad,1,Women's Bantamweight,0,1,0,4.03,0.41,0.4,0.4,0.2,1,2,8,0,0,1,0,0,0,1,1,170.18,167.64,135,28,0,1,1,4.47,0.44,0.0,0.37,0.2,3,4,27,0,2,2,1,0,0,5,1,165.1,162.56,135,37
