fighter,gender
Aalon Cruz,MALE
Aaron Phillips,MALE
Aaron Riley,MALE
Aaron Rosa,MALE
Aaron Simpson,MALE
Abdul Razak Alhassan,MALE
Abel Trujillo,MALE
Abu Azaitar,MALE
Abubakar Nurmagomedov,MALE
Adam Milstead,MALE
Adam Wieczorek,MALE
Adlan Amagov,MALE
Adrian Yanez,MALE
Adriano Martins,MALE
Aiemann Zahabi,MALE
Aisling Daly,FEMALE
Akbarh Arreola,MALE
Akira Corassani,MALE
Al Iaquinta,MALE
Alan Baudot,MALE
Alan Belcher,MALE
Alan Jouban,MALE
Alan Patrick,MALE
Albert Morales,MALE
Albert Tumenov,MALE
Alberto Mina,MALE
Alejandro Perez,MALE
Aleksa Camur,MALE
Aleksandar Rakic,MALE
Aleksei Kunchenko,MALE
Aleksei Oleinik,MALE
Alen Amedovski,MALE
Alessandro Ricci,MALE
Alessio Di Chirico,MALE
Alessio Sakara,MALE
Alex Caceres,MALE
Alex Chambers,FEMALE
Alex Da Silva,MALE
Alex Garcia,MALE
Alex Morono,MALE
Alex Munoz,MALE
Alex Nicholson,MALE
Alex Oliveira,MALE
Alex Perez,MALE
Alex Soto,MALE
Alex White,MALE
Alexa Grasso,FEMALE
Alexander Gustafsson,MALE
Alexander Hernandez,MALE
Alexander Munoz,MALE
Alexander Volkanovski,MALE
Alexander Volkov,MALE
Alexander Yakovlev,MALE
Alexandr Romanov,MALE
Alexandra Albu,FEMALE
Alexandre Pantoja,MALE
Alexis Davis,FEMALE
Ali AlQaisi,MALE
Ali Bagautinov,MALE
Ali Qaisi,MALE
Alistair Overeem,MALE
Aljamain Sterling,MALE
Allen Crowder,MALE
Alonzo Menifield,MALE
Alptekin Ozkilic,MALE
Alvaro Herrera,MALE
Amanda Cooper,FEMALE
Amanda Lemos,FEMALE
Amanda Nunes,FEMALE
Amanda Ribas,FEMALE
Amilcar Alves,MALE
Amir Albazi,MALE
Amir Sadollah,MALE
Anderson Dos Santos,MALE
Anderson Silva,MALE
Andre Ewell,MALE
Andre Fili,MALE
Andre Muniz,MALE
