ID,date,fighter,current_lose_streak,current_win_streak,draw,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO_TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age
1,2021-03-06,Aalon Cruz,1,0,0,7.58,0.39,0.0,0.0,0.0,1,1,4,0,0,0,1,0,0,1,3,182.88,198.12,145,31
2,2020-07-15,Aaron Phillips,2,0,0,1.87,0.59,0.5,0.0,0.0,0,2,6,0,0,0,0,0,0,0,2,175.26,177.8,135,30
3,2013-07-27,Aaron Riley,1,0,0,36.0,0.36875,0.125,1.0,0.28375,1,5,17,0,0,3,0,0,0,3,2,172.72,175.26,155,32
4,2012-03-02,Aaron Rosa,0,1,0,66.0,0.495,0.0,0.0,0.0,1,1,6,1,0,0,0,0,0,1,1,193.04,198.12,205,28
5,2012-10-05,Aaron Simpson,0,1,0,42.6,0.55,0.3,3.1,0.391,3,3,26,0,1,4,2,0,0,7,1,182.88,185.42,170,38
6,2021-08-28,Abdul Razak Alhassan,3,0,0,3.71,0.48,0.0,0.53,0.28,3,4,14,0,0,0,4,0,0,4,1,177.8,185.42,185,36
7,2017-12-16,Abel Trujillo,1,0,0,24.4,0.372,0.3,1.4,0.543,3,4,21,0,0,1,3,1,0,6,1,172.72,177.8,155,34
8,2021-03-27,Abu Azaitar,0,1,0,5.21,0.44,0.0,0.5,0.25,1,0,3,0,0,1,0,0,0,1,1,175.26,193.04,185,35
9,2021-03-27,Abubakar Nurmagomedov,1,0,0,3.59,0.49,0.0,1.68,0.33,0,1,1,0,0,0,0,0,0,0,1,180.34,182.88,170,31
10,2018-12-15,Adam Milstead,2,0,0,39.0,0.643333333,0.0,0.0,0.0,1,2,7,0,0,0,1,0,0,1,1,190.5,193.04,205,31
11,2018-11-03,Adam Wieczorek,0,2,0,27.5,0.46,0.5,0.0,0.0,2,0,5,0,0,1,0,1,0,2,1,195.58,205.74,250,26
12,2013-10-19,Adlan Amagov,0,1,0,38.0,0.38,0.0,6.0,0.6,1,0,3,0,0,1,0,0,0,1,1,187.96,193.04,170,26
13,2021-07-24,Adrian Yanez,0,3,0,6.13,0.38,0.0,0.0,0.0,3,0,5,0,0,0,3,0,0,3,1,170.18,177.8,135,27
14,2017-09-09,Adriano Martins,1,0,0,14.5,0.443333333,0.166666667,0.666666667,0.291666667,3,2,11,0,1,0,2,1,0,4,2,177.8,182.88,155,34
15,2021-02-20,Aiemann Zahabi,0,1,0,2.82,0.4,0.0,0.33,0.16,1,2,1,0,0,0,0,0,0,2,1,172.72,172.72,135,33
16,2015-10-24,Aisling Daly,1,0,0,21.5,0.51,1.0,1.5,0.45,1,1,4,0,0,0,0,1,0,1,3,157.48,162.56,115,27
17,2015-11-14,Akbarh Arreola,1,0,0,25.33333333,0.44,0.333333333,1.0,0.666666667,1,2,7,0,0,0,0,1,0,1,2,177.8,180.34,155,32
18,2015-01-24,Akira Corassani,2,0,0,25.8,0.452,0.0,0.4,0.066,3,2,10,0,1,1,0,0,0,3,1,172.72,172.72,145,32
19,2019-10-05,Al Iaquinta,1,0,0,4.06,0.4,0.2,0.64,0.18,5,4,38,0,1,4,4,0,0,9,1,177.8,177.8,155,32
20,2021-07-17,Alan Baudot,1,0,0,7.81,0.61,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,190.5,200.66,243,33
21,2013-04-27,Alan Belcher,1,0,0,24.5,0.410714286,0.571428571,0.285714286,0.188571429,4,5,28,0,1,0,4,3,1,9,1,187.96,185.42,185,29
22,2020-11-21,Alan Jouban,1,0,0,4.85,0.5,0.0,0.59,0.5,3,5,24,0,0,3,4,0,0,7,2,182.88,185.42,170,38
23,2020-09-12,Alan Patrick,1,0,0,1.88,0.43,0.4,3.92,0.4,3,2,18,0,0,4,1,0,0,5,2,180.34,187.96,155,37
24,2017-07-16,Albert Morales,0,1,0,51.0,0.333333333,0.0,0.666666667,0.276666667,1,2,8,0,1,0,0,0,0,1,1,175.26,182.88,135,26
25,2016-10-08,Albert Tumenov,1,0,0,35.28571429,0.414285714,0.0,0.142857143,0.142857143,5,2,14,0,1,1,3,0,0,5,1,180.34,185.42,170,24
26,2018-05-12,Alberto Mina,0,3,0,39.66666667,0.466666667,0.0,1.333333333,0.376666667,3,0,6,0,1,0,2,0,0,3,1,182.88,195.58,170,36
27,2021-02-10,Alejandro Perez,2,0,1,3.45,0.35,0.4,0.61,0.23,4,3,25,0,1,3,3,0,0,7,1,167.64,165.1,145,32
28,2021-06-19,Aleksa Camur,1,0,0,4.78,0.59,0.0,0.59,0.25,2,1,8,0,0,1,1,0,0,2,1,185.42,187.96,205,25
29,2021-03-06,Aleksandar Rakic,0,1,0,4.23,0.52,0.2,0.75,0.25,4,1,14,0,0,3,2,0,0,5,1,193.04,198.12,205,29
30,2020-03-14,Aleksei Kunchenko,1,0,0,3.62,0.42,0.0,0.33,0.33,2,1,9,0,0,2,0,0,0,2,1,172.72,177.8,170,35
31,2021-06-19,Aleksei Oleinik,2,0,0,3.55,0.5,2.2,2.16,0.46,2,6,22,0,1,0,1,6,0,8,1,187.96,203.2,240,43
32,2019-09-28,Alen Amedovski,0,1,0,0.52,0.28,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,1,177.8,187.96,185,31
33,2017-02-19,Alessandro Ricci,1,0,0,28.0,0.46,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,1,180.34,175.26,155,34
34,2021-08-28,Alessio Di Chirico,0,1,0,3.3,0.41,0.0,1.62,0.45,2,5,22,0,2,0,2,0,0,4,1,182.88,187.96,185,31
35,2012-11-17,Alessio Sakara,2,0,0,19.61538462,0.451538462,0.0,0.769230769,0.115384615,3,7,20,0,1,1,4,0,0,6,1,182.88,182.88,185,31
36,2021-02-27,Alex Caceres,0,3,0,4.1,0.5,0.8,0.57,0.78,4,10,59,0,3,5,1,3,0,12,2,177.8,185.42,145,32
37,2015-09-05,Alex Chambers,0,1,0,28.0,0.6,1.0,1.5,0.7,1,1,4,0,0,0,0,1,0,1,3,160.02,160.02,115,36
38,2020-09-26,Alex Da Silva,0,1,0,1.08,0.43,0.0,2.59,0.57,1,1,5,0,0,1,0,0,0,1,1,172.72,185.42,155,24
39,2018-10-27,Alex Garcia,1,0,0,20.55555556,0.32,0.111111111,3.111111111,0.465555556,2,4,22,0,1,1,2,1,0,5,1,175.26,182.88,170,31
40,2021-05-08,Alex Morono,1,0,0,5.05,0.42,0.4,0.43,0.25,3,4,29,0,1,4,1,1,0,7,1,180.34,182.88,170,30
41,2020-08-08,Alex Munoz,0,0,0,4.07,0.63,0.0,4.0,0.66,0,0,0,0,0,0,0,0,0,0,3,175.26,175.26,155,30
42,2017-05-28,Alex Nicholson,1,0,0,38.66666667,0.446666667,0.0,0.0,0.0,1,2,6,0,0,0,1,0,0,1,1,193.04,205.74,185,27
43,2021-04-24,Alex Oliveira,1,0,0,2.86,0.5,0.6,2.37,0.37,4,7,43,0,1,3,4,3,0,11,1,180.34,193.04,170,33
